07/31 11:21:48 PM | Logger is set 
08/01 12:06:13 PM | Train: [ 3/200] Step 110/380 Loss 29.250 Prec@(1,5) (13.0%, 35.1%)
08/01 12:06:17 PM | Train: [ 3/200] Step 120/380 Loss 29.243 Prec@(1,5) (13.0%, 35.1%)
08/01 12:06:23 PM | Train: [ 3/200] Step 130/380 Loss 29.203 Prec@(1,5) (13.2%, 35.0%)
08/01 12:06:31 PM | Train: [ 3/200] Step 140/380 Loss 29.204 Prec@(1,5) (13.4%, 35.0%)
08/01 12:06:38 PM | Train: [ 3/200] Step 150/380 Loss 29.218 Prec@(1,5) (13.2%, 34.9%)
08/01 12:06:44 PM | Train: [ 3/200] Step 160/380 Loss 29.197 Prec@(1,5) (13.4%, 35.0%)
08/01 12:06:50 PM | Train: [ 3/200] Step 170/380 Loss 29.175 Prec@(1,5) (13.5%, 35.2%)
08/01 12:06:58 PM | Train: [ 3/200] Step 180/380 Loss 29.145 Prec@(1,5) (13.5%, 35.4%)
08/01 12:07:04 PM | Train: [ 3/200] Step 190/380 Loss 29.096 Prec@(1,5) (13.7%, 35.7%)
08/01 12:07:11 PM | Train: [ 3/200] Step 200/380 Loss 29.125 Prec@(1,5) (13.8%, 35.6%)
08/01 12:07:17 PM | Train: [ 3/200] Step 210/380 Loss 29.087 Prec@(1,5) (13.7%, 35.6%)
08/01 12:07:25 PM | Train: [ 3/200] Step 220/380 Loss 29.065 Prec@(1,5) (13.8%, 35.7%)
08/01 12:07:33 PM | Train: [ 3/200] Step 230/380 Loss 29.008 Prec@(1,5) (14.0%, 35.9%)
08/01 12:07:40 PM | Train: [ 3/200] Step 240/380 Loss 28.982 Prec@(1,5) (14.2%, 36.0%)
08/01 12:07:46 PM | Train: [ 3/200] Step 250/380 Loss 28.915 Prec@(1,5) (14.4%, 36.4%)
08/01 12:07:53 PM | Train: [ 3/200] Step 260/380 Loss 28.903 Prec@(1,5) (14.4%, 36.2%)
08/01 12:08:04 PM | Train: [ 3/200] Step 270/380 Loss 28.873 Prec@(1,5) (14.6%, 36.4%)
08/01 12:08:16 PM | Train: [ 3/200] Step 280/380 Loss 28.791 Prec@(1,5) (14.9%, 36.9%)
08/01 12:08:28 PM | Train: [ 3/200] Step 290/380 Loss 28.726 Prec@(1,5) (15.1%, 37.2%)
08/01 12:08:40 PM | Train: [ 3/200] Step 300/380 Loss 28.707 Prec@(1,5) (15.2%, 37.2%)
08/01 12:08:50 PM | Train: [ 3/200] Step 310/380 Loss 28.666 Prec@(1,5) (15.3%, 37.4%)
08/01 12:09:02 PM | Train: [ 3/200] Step 320/380 Loss 28.647 Prec@(1,5) (15.3%, 37.6%)
08/01 12:09:14 PM | Train: [ 3/200] Step 330/380 Loss 28.613 Prec@(1,5) (15.4%, 37.7%)
08/01 12:09:26 PM | Train: [ 3/200] Step 340/380 Loss 28.556 Prec@(1,5) (15.6%, 38.1%)
08/01 12:09:38 PM | Train: [ 3/200] Step 350/380 Loss 28.496 Prec@(1,5) (15.8%, 38.3%)
08/01 12:09:49 PM | Train: [ 3/200] Step 360/380 Loss 28.465 Prec@(1,5) (15.9%, 38.4%)
08/01 12:10:00 PM | Train: [ 3/200] Step 370/380 Loss 28.424 Prec@(1,5) (16.0%, 38.6%)
08/01 12:10:12 PM | Train: [ 3/200] Step 380/380 Loss 28.390 Prec@(1,5) (16.1%, 38.6%)
08/01 12:10:14 PM | Train: [ 3/200] Final Prec@1 16.0609%
08/01 12:12:32 PM | Valid: [ 3/200] Step 000/023 Loss 29.092 Prec@(1,5) (15.6%, 34.4%)
08/01 12:12:45 PM | Valid: [ 3/200] Step 010/023 Loss 28.277 Prec@(1,5) (15.9%, 36.6%)
